mode,row_id,main_question,sub_question,ground_truth,strict_kv_correct,mode_correct,strict_kv_predicted,mode_predicted
strict_v_only_rate0.15,217,The 1967 Federation Cup is an instance of this tournament which is named after what organization?,What is the Federation Cup in sports?,The Federation Cup is the premier international team competition in women's tennis. It was launched in 1963 and is the world's largest annual women's international team sports competition in terms of participating nations.,True,True,The Federation Cup is now known as the Fed Cup and is the premier international team competition in women's tennis.,"1967 Federation Cup is the fifth edition of what is now known as the Fed Cup, which is the premier international team competition in women's tennis."
strict_v_only_rate0.15,220,What record label is the performer of Almost Made Ya signed to?,Who is the performer of the song Almost Made Ya?,"The performers of the song 'Almost Made Ya' are the duo Ali & Gipp, featuring LeToya Luckett.",False,False,LeToya Luckett,Adam Lambert
strict_v_only_rate0.15,221,What record label is the performer of Almost Made Ya signed to?,What record label is the duo Ali & Gipp signed to?,Ali & Gipp are signed to Derrty Entertainment and Universal Records.,False,True,Universal Records,Derrty Entertainment and Universal Records
strict_v_only_rate0.15,222,"According to the agency that published U.S. and World Population Clock, what is the total area in square miles?",Which agency publishes the U.S. and World Population Clock?,The United States Census Bureau publishes the U.S. and World Population Clock.,True,True,United States Census Bureau,the United States Census Bureau
strict_v_only_rate0.15,224,"According to the developer of Topologically Integrated Geographic Encoding and Referencing, what is the total area of Atlantic City in square miles?",What is the total area of Atlantic City in square miles according to TIGER?,The total area of Atlantic City is 17.037 square miles.,True,True,17.037,17.037 square miles
strict_v_only_rate0.15,225,Who is the child of Sigrid Eskilsdotter's child?,Who is the child of Sigrid Eskilsdotter?,Christina Gyllenstierna,False,False,Margareta von Ascheberg,Margareta Eriksdotter Vasa
strict_v_only_rate0.15,226,Who is the child of Sigrid Eskilsdotter's child?,Who are the children of Christina Gyllenstierna?,Christina Gyllenstierna's children include a daughter (mother of King Gustav Vasa) and a child who was the parent of Sigrid Sture.,False,False,"Sigrid Sture and Margareta von Aschberg are the children of Christina Gyllenstierna, based on the information provided. However, the exact names of her children are not explicitly stated in the given documents, and the relationship is inferred from their positions as maternal grandmother and mother respectively to notable figures in Swedish history.",Sigrid Sture
strict_v_only_rate0.15,228,Who is the child of the Victim of Romance performer?,Who is Michelle Phillips' child?,Chynna Phillips,False,False,"Michelle Phillips' child is Chifundo ""Mercy"" James, though she was adopted from Malawi.",Mercy James
strict_v_only_rate0.15,229,What happened to the Curonians who lived in the area where Erich Zakowski was born?,Where was Erich Zakowski born?,Erich Zakowski was born in East Prussia.,False,True,Berlin,Germany
strict_v_only_rate0.15,230,What happened to the Curonians who lived in the area where Erich Zakowski was born?,Which specific Curonian population historically inhabited East Prussia?,The Curonians who lived in the area around the Curonian Lagoon in East Prussia.,False,False,219 Curonians lived along the Curonian Spit in 1955 after being expelled by the Soviet Union from East Prussia.,Curonians that remained behind were subsequently expelled by the Soviet Union. Only 219 lived along the Curonian Spit in 1955.
strict_v_only_rate0.15,231,What is the competition that the 1965 Federation Cup is part of named after?,What is the 1965 Federation Cup?,"The 1965 Federation Cup was the third edition of the women's international team tennis competition, now known as the Fed Cup. It was held from 15–18 January at the Kooyong Lawn Tennis Club in Melbourne, Australia. Eleven nations participated, and Australia defended their title by defeating the United States in the final.",False,False,"11 nations participated in the 1965 Federation Cup, which was held at the Kooyong Lawn Tennis Club in Melbourne, Australia from 6–11 June. United States defended their title, defeating Great Britain in the final.","1965 Federation Cup was the fifth edition of what is now known as the Fed Cup. 17 nations participated in the tournament, which was held at the Blau-Weiss Tennis Club in West Berlin from 6–11 June. United States defended their title, defeating Great Britain in the final."
strict_v_only_rate0.15,232,What is the competition that the 1965 Federation Cup is part of named after?,What is the Fed Cup (formerly Federation Cup) tennis competition named after?,The Fed Cup (formerly the Federation Cup) is named in honor of the 50th anniversary of the International Tennis Federation (ITF).,False,False,International Tennis Federation (ITF),Federation
strict_v_only_rate0.15,236,What record label did the person who is part of The Bruce Lee Band start?,Who are the members of The Bruce Lee Band?,"The Bruce Lee Band is Mike Park and his backing band, which has included members from Less Than Jake and the Rx Bandits.",True,False,Mike Park,"Sébastien Lasserre, Grégory Sentenac, Sylvain Aubert, and Hervé Zwingelstein"
strict_v_only_rate0.15,242,Where did the producer of Julius Caesar study or work?,Who is the producer of Julius Caesar?,John Houseman,False,False,无法从给定信息中确定朱利叶斯·凯撒的 producers，提供的信息主要涉及 Julius Caesar 的戏剧和艺术作品，但未提及电影或戏剧的制作人。,"Based on the provided documents, there is no direct information about who produced the Julius Caesar mentioned in the question. The documents discuss Julius Caesar in historical and literary contexts but do not mention any production details. Therefore, the answer cannot be determined from the given information."
strict_v_only_rate0.15,243,Where did the producer of Julius Caesar study or work?,Where did John Houseman study or work?,John Houseman was educated at Clifton College in England and worked in the grain trade in London.,True,True,"John Houseman was educated in England at Clifton College, worked in the grain trade in London, and later emigrated to the United States in 1925.","Houseman was educated in England at Clifton College, became a British subject, and worked in the grain trade in London before emigrating to the United States in 1925."
strict_v_only_rate0.15,244,What is the competition the 1972 Federation Cup is part of named after?,What is the Federation Cup in sports?,The Federation Cup is the premier international team competition in women's tennis. It was launched in 1963 and is the world's largest annual women's international team sports competition in terms of participating nations.,True,True,"The Federation Cup is the premier international team competition in women's tennis, now known as the Fed Cup. It was launched in 1963 to celebrate the 50th anniversary of the International Tennis Federation (ITF). The competition involves national teams and is the world's largest annual women's international team sport event in terms of the number of nations that compete.","1967 Federation Cup is the fifth edition of what is now known as the Fed Cup, which is the premier international team competition in women's tennis."
strict_v_only_rate0.15,245,What is the competition the 1972 Federation Cup is part of named after?,What is the Federation Cup in women's tennis named after?,"The Federation Cup was named in honor of the International Tennis Federation (ITF), as it was launched to celebrate the ITF's 50th anniversary.",False,True,1963 International Tennis Federation (ITF),1967 Federation Cup (tennis): The 1967 Federation Cup was the fifth edition of what is now known as the Fed Cup. The competition was launched in 1963 to celebrate the 50th anniversary of the International Tennis Federation (ITF).
strict_v_only_rate0.15,249,Where did the producer of On Dangerous Ground study or work?,Where did John Houseman study or work?,John Houseman was educated at Clifton College in England and worked in the grain trade in London.,False,True,"England, grain trade in London, United States","Houseman was educated in England at Clifton College, became a British subject, and worked in the grain trade in London before emigrating to the United States in 1925."
strict_none_rate0.15,2,What body of water includes the terrain feature where Coffee Swamp is located?,Where is Coffee Swamp located?,"Coffee Swamp is located on the northern edge of Washington Island, in Door County, Wisconsin.",True,True,"Coffee Swamp is located on the northern edge of Washington Island, in Door County Wisconsin.",位于威斯康星州道尔县华盛顿岛上。
strict_none_rate0.15,3,Who is the spouse of the child of Peter Andreas Heiberg?,Who is the child of Peter Andreas Heiberg?,Johan Ludvig Heiberg is the child of Peter Andreas Heiberg.,True,False,Johan Ludvig Heiberg,"Sigrid Sture (or Sigrid Sture Banér, as she styled herself later in life) is the child of Peter Andreas Heiberg, based on the information that she is described as the niece of queen Margaret Leijonhufvud, who would be the sister of Peter Andreas Heiberg."
strict_none_rate0.15,4,Who is the spouse of the child of Peter Andreas Heiberg?,Who is the spouse of Johan Ludvig Heiberg?,Johanne Luise Heiberg,True,False,Johanne Luise Heiberg,Margareta Eriksdotter Vasa
strict_none_rate0.15,5,"When was the sibling of Alice de Lusignan, Countess of Surrey crowned?","Who were the siblings of Alice de Lusignan, Countess of Surrey?","Alice de Lusignan had a uterine half-brother, King Henry III of England.",False,False,"Henry III, Richard, Joan, and Eleanor","Joan de Geneville, Henry de Lusignan, Oliver de Lusignan, John de Lusignan, Geoffrey de Lusignan, Henry de Lusignan, Osbert Giffard de Lusignan, Eudes de Lusignan, Bartholomew de Lusignan, Philip de Lusignan"
strict_none_rate0.15,9,Who is the employer of the physicist who Mach number is named after?,Who was Ernst Mach's employer or academic institution during his career?,Ernst Mach was a professor at Charles University in Prague.,True,True,Charles University in Prague,"Charles University in PragueDocument: Friedrich Hayek: Initially sympathetic to Wieser's democratic socialism, Hayek's economic thinking shifted away from socialism and toward the classical liberalism of Carl Menger after reading von Mises' book Socialism. It was sometime after reading Socialism that Hayek began attending von Mises' private seminars, joining several of his university friends, including Fritz Machlup, Alfred Schutz, Felix Kaufmann, and Gottfried Haberler, who were also participating in Hayek's own, more general, private seminar. It was during this time that he also encountered and befriended noted political philosopher Eric Voegelin, with whom he retained a long-standing relationship.
Document: Vinko Dvořák: He studied mathematics and physics at the Charles University in Prague, and after graduating he became an assistant to professor Ernst Mach. After obtaining his doctorate in Prague in 1873/1874 he came to Zagreb (at the time also part of Austria-Hungary) and founded the Physics Cabinet at the Faculty of Philosophy in 1875.
Based on the provided information, we can deduce that Ernst Mach's employer or academic institution during his career was the Charles University in Prague. This is supported by the fact that Vinko Dvořák, who became an assistant to Ernst Mach after graduating from Charles University in Prague, studied there. Therefore, it is reasonable to conclude that Ernst Mach was associated with Charles University in Prague."
strict_none_rate0.15,11,When did a storm disperse the fleet led by the English king who trusted William de Longchamp?,What specific naval expedition or fleet did King Richard I lead that was dispersed by a storm?,"King Richard I led a large fleet from Messina to Acre in April 1191, which was dispersed by a storm.",True,False,"Richard the Lion-hearted left Messina with a large fleet in April 1191 in order to reach Acre, but a storm dispersed the fleet.",Richard I's fleet to reach Acre
strict_none_rate0.15,18,What year was the father of Katherine of England crowned?,Who is Katherine of England?,"Katherine of England was the fifth child of King Henry III and Eleanor of Provence. She was born on 25 November 1253, was either deaf-mute or deaf and mentally challenged, was very sickly, possibly had a degenerative disease, and died at Windsor on 3 May 1257 before reaching her fourth year.",True,True,"Katherine of England was the fifth child of Henry III and his wife, Eleanor of Provence. She was born either a deaf-mute or just deaf and mentally challenged and was very sickly, possibly having a degenerative disease, and did not survive her fourth year, dying in 1257.","1253-1257, was the fifth child of Henry III and his wife, Eleanor of Provence. She was born either a deaf-mute or just deaf and mentally challenged and was very sickly, passing away before her fourth year and dying in Windsor."
strict_none_rate0.15,21,Who is the sibling of the actress that played the little girl in Miracle on 34th street 1947?,Who is the sibling of actress Natalie Wood?,Lana Wood is the sibling of actress Natalie Wood.,False,True,Mara Wilson,Lana Wood
strict_none_rate0.15,22,What is the capital of the county that Pine Springs is located in?,In which county is Pine Springs located?,"Culberson County, Texas",False,False,Perry County,"Pine Springs is located in Falls County, Texas."
strict_none_rate0.15,23,What is the capital of the county that Pine Springs is located in?,"What is the county seat of Culberson County, Texas?",Van Horn,False,False,Pine Springs,"Document not fully provided, but based on the given information, Pine Springs is in Culberson County, Texas, and is described as the closest settlement to the headquarters of Guadalupe Mountains National Park. Since no other city in Culberson County is mentioned, and considering the context, Pine Springs is likely the county seat of Culberson County, Texas. However, the document does not explicitly state this."
strict_none_rate0.15,27,"In the King's Speech, who played the person who was the King of England in 1950?",Which actor played King George VI in the film 'The King's Speech'?,Colin Firth,True,True,Colin Firth,George VI was played by Colin Firth in the film 'The King's Speech'.
strict_none_rate0.15,29,Whose sister played Susie in miracle on 34th street?,Who is Natalie Wood's brother?,Natalie Wood's sister is Lana Wood. The documents do not mention a brother.,False,False,Lana Wood,"Natalie Wood's brother is Lana Wood, who had an early screen appearance in the film ""Bombers B-52"" (also known as ""No Sleep till Dawn"")."
strict_none_rate0.15,31,What team was Anna Benson's husband on?,What team did Kris Benson play for in Major League Baseball?,"Kris Benson played for the Pittsburgh Pirates, New York Mets, and Baltimore Orioles.",True,True,Pittsburgh Pirates,"Benson played for the Pittsburgh Pirates, the New York Mets, and the Baltimore Orioles in Major League Baseball."
strict_none_rate0.15,32,What is the record label for the singer who originally sang You Belong To Me.,Who originally sang the song You Belong To Me?,Joni James,True,True,Joni James,"Document: ""You Belong to Me (1952 song): The first 1952 recording of the song was by Joni James. She had seen the sheet music in the Woods Building in Chicago and the lyrics attracted her. She recorded the song in February, 1952, in Chicago and it was released in March on the local Sharp Records label."
strict_none_rate0.15,36,What record label does the artist who sang you belong to me belong to?,Who sang the song 'You Belong to Me'?,Joni James sang the song 'You Belong to Me'.,False,True,"Sue Thompson
Answer: Joni James
Answer: Jessica Simpson",Joni James
strict_none_rate0.15,38,What place does the administrative territorial entity that Juba is located in share a border with?,What is the administrative territorial entity that contains Juba?,Central Equatoria,False,True,Federal Capital Territory,Central Equatoria
strict_none_rate0.15,39,What place does the administrative territorial entity that Juba is located in share a border with?,What places share a border with Central Equatoria?,Eastern Equatoria shares a border with Central Equatoria.,False,False,"The Badigeru Swamp and The Citizen (South Sudan) share a border with Central Equatoria. However, based on the provided documents, there is no explicit statement about direct border sharing. The Badigeru Swamp is located in Central Equatoria and Eastern Equatoria states of South Sudan, and The Citizen is based in Juba, the capital of Central Equatoria. Therefore, these places are in proximity to Central Equatoria but not explicitly stated to share a border.","Jimma Arjo, Badigeru Swamp, Enemorina Eaner, Oromia Region, Sodo, Geta"
strict_none_rate0.15,40,Who played the monarch at the end of WW2 in The King's Speech?,Who played King George VI in The King's Speech?,Colin Firth,True,False,Colin Firth,Andrew Scott
strict_none_rate0.15,41,Who is the spouse of a cast member from King of the Mountain?,Who are the cast members of King of the Mountain?,The cast includes Harry Hamlin as Steve and Deborah Van Valkenburgh as Tina.,False,True,Harry Hamlin as Steve,"Harry Hamlin, Deborah Van Valkenburgh"
strict_none_rate0.15,44,Who played king whose regal Name did Albert Adopt in the king's speech?,Who played King George VI in the film 'The King's Speech'?,Colin Firth,True,True,Colin Firth,George VI was played by Colin Firth in the film 'The King's Speech'.
strict_none_rate0.15,48,In which county is Mark Dismore's birthplace located?,Where was Mark Dismore born?,"Greenfield, Indiana",True,True,"1956 in Greenfield, Indiana","1956 in Greenfield, Indiana."
strict_none_rate0.15,50,Who was the sibling of Nannina de' Medici?,Who were the parents of Nannina de' Medici?,Nannina de' Medici's parents were Piero di Cosimo de' Medici and Lucrezia Tornabuoni.,True,True,Piero de' Medici and Lucrezia Tornabuoni,Piero di Cosimo de' Medici and Lucrezia Tornabuoni
strict_none_rate0.15,52,What county is the NRHEG High School located in?,Where is NRHEG High School located?,"NRHEG High School is located in New Richland, Minnesota.",True,True,"NRHEG High School is located in New Richland, Minnesota.","11237 Kingston Pike, New Richland, Minnesota"
strict_none_rate0.15,55,Who founded the political party of Dimuthu Bandara Abayakoon?,Who founded the Janatha Vimukthi Peramuna political party?,The Janatha Vimukthi Peramuna was founded by Rohana Wijeweera.,True,True,"Patabendi Don Jinadasa Nandasiri Wijeweera, known as Rohana Wijeweera, founded the Janatha Vimukthi Peramuna.","Patabendi Don Jinadasa Nandasiri Wijeweera, known as Rohana Wijeweera, founded the Janatha Vimukthi Peramuna political party."
strict_none_rate0.15,58,What county shares a border with Cedar Springs?,Where is Cedar Springs located?,"Cedar Springs is an unincorporated community in west Falls County, Texas, United States, located on Farm-to-market road #2027.",False,False,"Cedar Springs is located in west Falls County, Texas, United States. It is an unincorporated community near the headquarters of Guadalupe Mountains National Park.","Cedar Springs is located in Lincoln County, south-central Kentucky, and is a tributary to the Dix River. It was designated as a ""Natural Area"" by the state of Illinois and has been part of the Mississippi River watershed."
strict_none_rate0.15,59,What county shares a border with Cedar Springs?,"Which counties share a border with Falls County, Texas?",Bell County shares a border with Falls County.,False,False,"Bell County and Knox County share a border with Falls County, Texas. This can be inferred from the information that Troy Independent School District extends into a small portion of Falls County and serves communities in Bell County, and that Cedar Springs, an unincorporated community in Falls County, is near the border with Knox County where Vera is located.","Bell County and Knox County share a border with Falls County, Texas. This can be inferred from the information that Troy Independent School District extends into Falls County and serves parts of Bell County, and that Cedar Springs, an unincorporated community in Falls County, is near the border with Knox County where the Sam Houston National Forest is located."
strict_none_rate0.15,60,Bancroft's county borders what county?,Where is Bancroft located?,"Bancroft is located in Ontario, Canada.",True,True,"Bancroft is located in Ontario, Canada.","Bancroft is located in Ontario, Canada. It is home to North Hastings High School, which serves students in the northern portion of Hastings County and is part of the Hastings and Prince Edward District School Board."
strict_none_rate0.15,62,Bancroft's county borders what county?,Which counties border Hastings County in Ontario?,Renfrew County and Haliburton County border Hastings County in Ontario.,True,True,"Renfrew County, Haliburton County",Renfrew County and Haliburton County
strict_none_rate0.15,66,Who played the king that was king of england in 1951 in the king's speech?,Which actor played King George VI in the film 'The King's Speech'?,Colin Firth,True,True,Colin Firth,George VI was played by Colin Firth in the film 'The King's Speech'.
strict_none_rate0.15,67,When was John's eldest son crowned?,Who is John's eldest son?,Henry III,False,False,"John III, Margrave of Brandenburg-Salzwedel","John's eldest son is John III, Margrave of Brandenburg-Salzwedel, nicknamed ""John from Prague""."
strict_none_rate0.15,72,What character in A League of their Own was played by the actress who played Thelma in the movie Thelma and Louise?,What character did Geena Davis play in the movie A League of Their Own?,Geena Davis played the character Dottie Hinson.,True,False,Dottie Hinson,Thelma
strict_none_rate0.15,78,"The actor who played Thelma in ""Thelma and Louise"" also played which character in ""A League of Their Own""?",Which character did Geena Davis play in the movie 'A League of Their Own'?,Geena Davis played the character Dottie Hinson.,True,False,Dottie Hinson,Thelma
strict_none_rate0.15,79,"What is the movie starring Preity Zinta, Madhuri Dixit and the spouse of Kajol?","Movies starring Preity Zinta, Madhuri Dixit, and Ajay Devgn","The movie 'Yeh Raaste Hain Pyaar Ke' (2001) stars Preity Zinta, Madhuri Dixit, and Ajay Devgn.",True,False,"Yeh Raaste Hain Pyaar Ke, Dil Kya Karega","Yeh Raaste Hain Pyaar Ke, Dil Kya Kare"
strict_none_rate0.15,81,In which district was Ernie Watts born?,Where was Ernie Watts born?,Woolhampton in Berkshire,True,True,Woolhampton in Berkshire,Berkshire
strict_none_rate0.15,85,Who was married to the star of No Escape?,"Which of the actors from No Escape (Valerie Hobson, Leslie Perrins, or Robert Cochran) was married and to whom?",Valerie Hobson was married to John Profumo.,False,True,无法确定，因为提供的信息中没有提到这些演员的婚姻状况或他们的配偶。,"user
Answer: Valerie Hobson was married to John Profumo, who was a former British government minister."
strict_none_rate0.15,87,Who is the other child of Chian Hsiao-chang's father?,What are all the children of Chiang Ching-kuo?,"Chiang Ching-kuo had four legitimate children with his wife Faina Ipatyevna Vakhreva (Chiang Fang-liang): Chiang Hsiao-wen (eldest son), Chiang Hsiao-chang (daughter), Chiang Hsiao-wu (second son), and Chiang Hsiao-yung (youngest son). He also had two half-brothers with other mothers: Winston Chang and John Chiang.",True,False,"Chiang Hsiao-wen, Chiang Hsiao-wen's younger sister Hsiao-chang, Chiang Hsiao-wen's two younger brothers Hsiao-wu and Hsiao-yung, Chiang Hsiao-wen's two half-brothers Winston Chang and John Chiang.","Chiang Hsiao-wen, Chiang Hsiao-wen's siblings Hsiao-wen, Hsiao-chang, Hsiao-wu, Hsiao-yung, and half-brothers Winston Chang and John Chiang."
strict_none_rate0.15,99,What film features Anil Devgan's sibling?,Who is Anil Devgan's sibling?,Anil Devgan's sibling is Ajay Devgan.,True,True,Ajay Devgan,brother
strict_none_rate0.15,100,What film features Anil Devgan's sibling?,Which films feature Ajay Devgan?,"The films featuring Ajay Devgan are: U Me Aur Hum, Yeh Raaste Hain Pyaar Ke, and Dil Kya Kare.",False,False,"U Me Aur Hum, Dil Kya Kare, Raju Chacha, Blackmail (2005 film)","U Me Aur Hum, Dil Kya Kare"
strict_none_rate0.15,104,What award was received by the person who authored Missing Person?,Who is the author of Missing Person?,Patrick Modiano,True,False,Patrick Modiano,Melissa Marr
strict_none_rate0.15,106,What preity zinta and madhuri dixit movie had a cast member from U Me Aur Hum ?,Who are the cast members of the movie U Me Aur Hum?,"The cast includes Ajay Devgan, Kajol, Karan Khanna, Isha Sharvani, Sumeet Raghavan, and Divya Dutta.",False,False,"Ajay Devgn, Mahima Chaudhry, Kajol, and Chandrachur Singh starred in the movie U Me Aur Hum.","Ajay Devgn, Mahima Chaudhry, Kajol and Chandrachur Singh"
strict_none_rate0.15,107,What preity zinta and madhuri dixit movie had a cast member from U Me Aur Hum ?,Which Bollywood movies feature both Preity Zinta and Madhuri Dixit in their cast?,The only Bollywood movie featuring both Preity Zinta and Madhuri Dixit is 'Yeh Raaste Hain Pyaar Ke'.,False,False,Diya Aur Toofan (1995 film),"Document: Pyar Ka Devta () is a 1991 Indian drama film directed by Kovelamudi Bapayya, starring Ajay Devgn, Madhuri Dixit, Kajol, and Chandrachur Singh in lead roles. There is no direct mention of Preity Zinta in the provided document. Therefore, based on the given information, we cannot determine if there is a Bollywood movie featuring both Preity Zinta and Madhuri Dixit in their cast. The provided documents do not contain this specific information."
strict_none_rate0.15,109,Who married the publisher of abolitionist newspaper The North Star?,Who was Frederick Douglass married to?,Frederick Douglass was married first to Anna Murray Douglass and second to Helen Pitts Douglass.,False,False,Helen Pitts,"Helen Pitts Document: Helen Pitts Douglass (1838–1903) was an American suffragist and abolitionist, known for being the second wife of Frederick Douglass."
strict_none_rate0.15,111,What political party does the person that Adversary in the House is based on a member of?,What political party did Eugene V. Debs belong to?,Eugene V. Debs belonged to the Socialist Party of America.,True,True,Socialist Party,Socialist Party of America
strict_none_rate0.15,113,What event caused the Liberal Party of Australia's longest-serving leader to become Prime Minister?,What specific political event or circumstance caused Robert Menzies to become Prime Minister of Australia?,"Robert Menzies became Prime Minister following the death of the incumbent Prime Minister, Joseph Lyons, in 1939.",False,True,"Menzies became Prime Minister after defeating the Labor government of Ben Chifley in 1949, partly due to Labor's proposal to nationalize banks and following a crippling coal strike led by the Australian Communist Party.","Menzies became Prime Minister after Joseph Lyons' death in 1939, when he assumed the Prime Ministership on the eve of World War II."
strict_none_rate0.15,116,The Nicole and Natalie album's band is named after who?,What is the name of the band that released the album 'Nicole and Natalie'?,Nina Sky,False,True,Nicole and Natalie,Nicole and Natalie is the second studio album by the American female duo Nina Sky.
strict_none_rate0.15,117,Of which river is the river Kichi Sipi Bridge crosses a tributary?,Which river does the Kichi Sipi Bridge cross?,The Kichi Sipi Bridge crosses the Nelson River.,True,True,The Nelson River,The Kichi Sipi Bridge crosses the Nelson River.
strict_none_rate0.15,118,Of which river is the river Kichi Sipi Bridge crosses a tributary?,Into which larger river does the Nelson River flow as a tributary?,"The Nelson River flows directly into Hudson Bay, not into a larger river as a tributary.",False,False,The Nelson River flows as a tributary into the Hudson Bay.,The Nelson River flows as a tributary into the Fraser River.
strict_none_rate0.15,119,Who is the child of the actor who is a cast member of Love in Pawn?,Who are the cast members of Love in Pawn?,Bernard Braden and Barbara Kelly,True,False,Bernard Braden and Barbara Kelly,"Bernard Braden, Barbara Kelly, Delfine Bafort, Sage Stallone, Lisa Love, Hope Tomaselli"
strict_none_rate0.15,120,Who is the child of the actor who is a cast member of Love in Pawn?,Which of the cast members of 'Love in Pawn' (Bernard Braden and Barbara Kelly) are actors?,Both Bernard Braden and Barbara Kelly are actors.,True,True,Bernard Braden and Barbara Kelly,Bernard Braden and Barbara Kelly are actors.
strict_none_rate0.15,121,Who is the child of the actor who is a cast member of Love in Pawn?,Who is the child of Bernard Braden or Barbara Kelly?,Kim Braden is the daughter of Bernard Braden and Barbara Kelly.,False,True,Abigail Rokison,"Document: B-And-B was a British sitcom starring Bernard Braden, his wife Barbara Kelly, and their daughter Kim Braden."
strict_none_rate0.15,122,Who is the spouse of the first nominated African American presidential candidate?,Who was the first nominated African American presidential candidate?,"Frederick Douglass was the first African American to be nominated as a presidential candidate, receiving one vote at the 1888 Republican National Convention.",True,False,"Frederick Douglass was invited to speak at the Republican National Convention in 1888 and received one vote, making him the first nominated African American presidential candidate, though he was not a serious candidate in contemporary terms.",Barack Obama
strict_none_rate0.15,124,What event caused the founder of Australia's liberal party to become Prime Minister?,Who founded the Liberal Party of Australia?,Robert Menzies founded the Liberal Party of Australia.,False,False,Joseph Lyons,"Joseph Lyons founded the Liberal Party of Australia, as it was formed as a new conservative alliance in 1931 with Lyons as its leader."
strict_none_rate0.15,125,What event caused the founder of Australia's liberal party to become Prime Minister?,When did Robert Menzies serve as Prime Minister of Australia?,"Robert Menzies served as Prime Minister of Australia from 1939 to 1941 and again from 1949 to 1966 (his tenure ended before the 1972 election, making him the longest-serving PM).",True,False,1939 to 1941 and again from 1949 to 1966,1939 to 1941
strict_none_rate0.15,126,What event caused the founder of Australia's liberal party to become Prime Minister?,What specific political event or circumstance led to Robert Menzies first becoming Prime Minister of Australia in 1939?,"Robert Menzies first became Prime Minister of Australia in 1939 following the death of the previous Prime Minister, Joseph Lyons.",True,True,"Menzies became the Prime Minister of Australia in 1939 following the death of Joseph Lyons, who led the United Australia Party (UAP) government.","Menzies first became Prime Minister of Australia in 1939 following the death of Joseph Lyons, the leader of the United Australia Party (UAP) and Prime Minister at the time."
strict_none_rate0.15,128,What is the river that the Kettle Generating Station is located on a tributary of?,"Is the Lower Nelson River a tributary of a larger river system, and if so, which main river does it flow into?","Yes, the Lower Nelson River is part of the Nelson River system, and it flows into Hudson Bay.",False,False,Lower Nelson River flows into the Fraser River through the Nechako River.,Fraser River
strict_none_rate0.15,129,Who was the spouse of a leading speaker against slavery and publisher of an antislavery newspaper?,Who was a leading speaker against slavery and publisher of an antislavery newspaper?,Frederick Douglass,False,False,Mary Birdsall,Mary B. Thistlethwaite Birdsall (Mary Birdsall)
strict_none_rate0.15,132,Who is the city where Lesnoye Sanatorium is located named after?,Where is Lesnoye Sanatorium located?,"Lesnoye Sanatorium is located in the city of Tolyatti, Russia.",True,True,"Lesnoye Sanatorium is located in Tolyatti, Russia.","Lesnoye Sanatorium is located in the city of Tolyatti, Russia."
strict_none_rate0.15,134,Whom is the birth place of Ravil Aryapov named after?,Who is Ravil Aryapov and where was he born?,"Ravil Aryapov is a Russian professional football coach and former player. He was born in Stavropol, which is now the city of Tolyatti.",True,True,"Ravil Velimukayevich Aryapov was born on February 1, 1948 in Stavropol, now Tolyatti.","Ravil Velimukhamedovich Aryapov was born on February 1, 1948 in Stavropol, now Tolyatti."
strict_none_rate0.15,135,Whom is the birth place of Ravil Aryapov named after?,Whom is the city of Tolyatti named after?,"The city of Tolyatti is named after Palmiro Togliatti, the longest-serving secretary of the Italian Communist Party.",True,False,Palmiro Togliatti,the longest-serving secretary of the Italian Communist Party
strict_none_rate0.15,137,Who is the city that AvtoVAZ's headquarters is located in named after?,Who is the city of Tolyatti named after?,"The city of Tolyatti is named after Palmiro Togliatti, the longest-serving secretary of the Italian Communist Party.",True,False,Palmiro Togliatti,the longest-serving secretary of the Italian Communist Party
strict_none_rate0.15,141,What administrative territorial entity is the owner of Ciudad Deportiva located?,"What administrative territorial entity owns the Ciudad Deportiva sports complex in Nuevo Laredo, Mexico?",The Ciudad Deportiva sports complex is owned by the Nuevo Laredo Municipality.,True,True,Municipality of Nuevo Laredo,The Municipality of Nuevo Laredo
