left,right,main_question,sub_question,left_correct,right_correct,left_predicted,right_predicted
strict_kv_rate0.15,strict_none_clean_rate0.15,What was the old show that was named after a character that Walt Disney created in 1928 called?,What is the name of the old show named after Mickey Mouse?,True,True,Mickey Mouse Club,The Mickey Mouse Club
strict_kv_rate0.15,strict_none_clean_rate0.15,What award did the author of The Red Tree receive?,What award did Shaun Tan receive?,True,True,Academy Award for Best Animated Short Film,2011 Academy Award for Best Animated Short Film
strict_kv_rate0.15,strict_none_clean_rate0.15,What was the show named after the character featured in the video game Mickey's Safari in Letterland?,What character is featured in the video game Mickey's Safari in Letterland?,True,True,Mickey,Mickey Mouse
strict_kv_rate0.15,strict_none_clean_rate0.15,Where is Amílcar Cabral International Airport?,Amílcar Cabral International Airport location,True,True,2 km west-southwest from Espargos on Sal Island,"2 km west-southwest from Espargos on Sal Island, Cabo Verde"
strict_kv_rate0.15,strict_none_clean_rate0.15,Where was Tyler MacDuff's child educated?,Who is Tyler MacDuff?,False,False,"Tyler MacDuff is the son of Dana MacDuff, who served in the United States Navy and worked as a page at the American Broadcasting Company before becoming a floor and stage manager with the BBC in Belfast, Northern Ireland, and later returning to Hollywood to produce films. There is no direct information provided about Tyler MacDuff himself in the given documents, only his familial connection to Dana MacDuff.","Tyler MacDuff is not directly mentioned in the provided documents. However, based on the names and information given, Tyler MacDuff could be inferred to be Tyler MacFarlane's brother, given the similarity in names and the context of one being an educator and the other a voice actress in an animated show. But this is an inference and not a direct statement from the documents."
strict_kv_rate0.15,strict_none_clean_rate0.15,Where was Tyler MacDuff's child educated?,Where was Dana MacDuff educated?,True,True,"Blair International Baccalaureate School in Pasadena, California","Pasadena, California"
strict_kv_rate0.15,strict_none_clean_rate0.15,What military overran much of Erich Zakowski's place of birth?,Where was Erich Zakowski born?,False,True,Berlin,Germany
strict_kv_rate0.15,strict_none_clean_rate0.15,The 1967 Federation Cup is an instance of this tournament which is named after what organization?,What is the Federation Cup in sports?,True,False,The Federation Cup is now known as the Fed Cup and is the premier international team competition in women's tennis.,"1967 Federation Cup is the fifth edition of what is now known as the Fed Cup, a premier international team competition in women's tennis."
strict_kv_rate0.15,strict_none_clean_rate0.15,What record label is the performer of Almost Made Ya signed to?,Who is the performer of the song Almost Made Ya?,False,False,LeToya Luckett,Adam Lambert
strict_kv_rate0.15,strict_none_clean_rate0.15,What record label is the performer of Almost Made Ya signed to?,What record label is the duo Ali & Gipp signed to?,False,True,Universal Records,Derrty Entertainment and Universal Records
strict_kv_rate0.15,strict_none_clean_rate0.15,"According to the agency that published U.S. and World Population Clock, what is the total area in square miles?",Which agency publishes the U.S. and World Population Clock?,True,True,United States Census Bureau,the United States Census Bureau
strict_kv_rate0.15,strict_none_clean_rate0.15,"According to the developer of Topologically Integrated Geographic Encoding and Referencing, what is the total area of Atlantic City in square miles?",What is the total area of Atlantic City in square miles according to TIGER?,True,True,17.037,17.037 square miles
strict_kv_rate0.15,strict_none_clean_rate0.15,Who is the child of Sigrid Eskilsdotter's child?,Who are the children of Christina Gyllenstierna?,False,False,"Sigrid Sture and Margareta von Aschberg are the children of Christina Gyllenstierna, based on the information provided. However, the exact names of her children are not explicitly stated in the given documents, and the relationship is inferred from their positions as maternal grandmother and mother respectively to notable figures in Swedish history.","Sigrid Sture is the daughter of Christina Gyllenstierna. However, the information provided does not explicitly state that Sigrid Sture is the child of Christina Gyllenstierna. The relationship needs to be traced through the given information. Sigrid Sture is described as the daughter of Svante Stensson Sture and Märta Erikdotter Leijonhufud. Christina Gyllenstierna is mentioned as Sigrid Sture's mother in the provided information. Therefore, by logical inference, Christina Gyllenstierna is the mother of Sigrid Sture."
strict_kv_rate0.15,strict_none_clean_rate0.15,Who is the child of the Victim of Romance performer?,Who performed the song 'Victim of Romance'?,True,False,Michelle Phillips,5th Dimension
strict_kv_rate0.15,strict_none_clean_rate0.15,Who is the child of the Victim of Romance performer?,Who is Michelle Phillips' child?,False,False,"Michelle Phillips' child is Chifundo ""Mercy"" James, though she was adopted from Malawi.","Michelle Phillips' child is Chifundo ""Mercy"" James, who she adopted from Malawi."
strict_kv_rate0.15,strict_none_clean_rate0.15,What happened to the Curonians who lived in the area where Erich Zakowski was born?,Where was Erich Zakowski born?,False,True,Berlin,Germany
strict_kv_rate0.15,strict_none_clean_rate0.15,What happened to the Curonians who lived in the area where Erich Zakowski was born?,Which specific Curonian population historically inhabited East Prussia?,False,False,219 Curonians lived along the Curonian Spit in 1955 after being expelled by the Soviet Union from East Prussia.,219 Curonians lived along the Curonian Spit in East Prussia in 1955.
strict_kv_rate0.15,strict_none_clean_rate0.15,What is the competition that the 1965 Federation Cup is part of named after?,What is the 1965 Federation Cup?,False,False,"11 nations participated in the 1965 Federation Cup, which was held at the Kooyong Lawn Tennis Club in Melbourne, Australia from 6–11 June. United States defended their title, defeating Great Britain in the final.","1965 Federation Cup was the fifth edition of what is now known as the Fed Cup. It was held at the Blau-Weiss Tennis Club in West Berlin from 6–11 June, with 17 nations participating. United States and Australia both reached the final for the third consecutive time, and Australia defended their title by defeating Great Britain in the final."
strict_kv_rate0.15,strict_none_clean_rate0.15,What is the competition that the 1965 Federation Cup is part of named after?,What is the Fed Cup (formerly Federation Cup) tennis competition named after?,False,False,International Tennis Federation (ITF),The Fed Cup (formerly Federation Cup) tennis competition is named after the International Tennis Federation (ITF).
strict_kv_rate0.15,strict_none_clean_rate0.15,What county was Tim Dubois born in?,Where was Tim Dubois born?,True,False,"Southwest City, Missouri","Timothy Wallace Credeur II, who is likely the Tim Dubois referred to in the question, was born in Anoka, Minnesota. This information is derived from the document stating ""Troy Dusosky (born May 12, 1976 in Anoka, Minnesota) is a retired American soccer defender,"" where ""Troy Dusosky"" is a name that closely matches ""Tim Dubois."""
strict_kv_rate0.15,strict_none_clean_rate0.15,What record label did the person who is part of The Bruce Lee Band start?,Who are the members of The Bruce Lee Band?,True,True,Mike Park,"Mike Park, Mike Park's backing band which has included Less Than Jake and the Rx Bandits."
strict_kv_rate0.15,strict_none_clean_rate0.15,What record label did the person who is part of The Bruce Lee Band start?,What record label did Mike Park start?,True,False,Asian Man Records,Dill Records
strict_kv_rate0.15,strict_none_clean_rate0.15,Who is the father of the performer of Je dis aime?,Who performed the song 'Je dis aime'?,False,False,Mylène Farmer,Mylene Farmer
strict_kv_rate0.15,strict_none_clean_rate0.15,Who is the father of the Labo M performer?,Who is the father of French singer-songwriter Matthieu Chedid?,True,False,Louis Chedid,Andréé Chedid
strict_kv_rate0.15,strict_none_clean_rate0.15,Where did the producer of Julius Caesar study or work?,Who is the producer of Julius Caesar?,False,False,无法从给定信息中确定朱利叶斯·凯撒的 producers，提供的信息主要涉及 Julius Caesar 的戏剧和艺术作品，但未提及电影或戏剧的制作人。,"romeo and julietDocumentDocument: Caesar Must Die () is a 2012 Italian drama film directed by Paolo and Vittorio Taviani. The film competed at the 62nd Berlin International Film Festival where it won the Golden Bear. The film is set in Rebibbia Prison (suburb of Rome), and follows convicts in their rehearsals ahead of a prison performance of ""Julius Caesar""."
strict_kv_rate0.15,strict_none_clean_rate0.15,Where did the producer of Julius Caesar study or work?,Where did John Houseman study or work?,True,True,"John Houseman was educated in England at Clifton College, worked in the grain trade in London, and later emigrated to the United States in 1925.","Houseman was educated in England at Clifton College, became a British subject, and worked in the grain trade in London before emigrating to the United States in 1925."
strict_kv_rate0.15,strict_none_clean_rate0.15,What is the competition the 1972 Federation Cup is part of named after?,What is the Federation Cup in sports?,True,False,"The Federation Cup is the premier international team competition in women's tennis, now known as the Fed Cup. It was launched in 1963 to celebrate the 50th anniversary of the International Tennis Federation (ITF). The competition involves national teams and is the world's largest annual women's international team sport event in terms of the number of nations that compete.","1967 Federation Cup is the fifth edition of what is now known as the Fed Cup, a premier international team competition in women's tennis."
strict_kv_rate0.15,strict_none_clean_rate0.15,What is the competition the 1972 Federation Cup is part of named after?,What is the Federation Cup in women's tennis named after?,False,True,1963 International Tennis Federation (ITF),"1967 Federation Cup (tennis): The 1967 Federation Cup was the third edition of what is now known as the Fed Cup. The Fed Cup is the premier international team competition in women's tennis, launched in 1963 to celebrate the 50th anniversary of the International Tennis Federation (ITF)."
