base_method,example_id,sub_q_idx,doc_len,online_selected,base_selected,intersection,residual_size,online_covered_by_base,residual_ratio_of_online
mean,136,0,821,147,104,78,69,0.5306122448979592,0.46938775510204084
mean,188,1,1219,210,217,93,117,0.44285714285714284,0.5571428571428572
mean,88,1,982,183,102,73,110,0.3989071038251366,0.6010928961748634
mean,43,1,1021,178,236,101,77,0.5674157303370787,0.43258426966292135
mean,88,2,1119,194,276,88,106,0.4536082474226804,0.5463917525773195
mean,191,0,1102,188,120,87,101,0.4627659574468085,0.5372340425531915
mean,13,1,2112,341,330,134,207,0.39296187683284456,0.6070381231671554
mean,136,1,1415,241,231,109,132,0.45228215767634855,0.5477178423236515
mean,191,1,1561,257,281,123,134,0.4785992217898833,0.5214007782101168
mean,89,0,1329,224,161,114,110,0.5089285714285714,0.49107142857142855
mean,161,1,1851,304,279,155,149,0.5098684210526315,0.4901315789473684
mean,44,0,1024,175,165,117,58,0.6685714285714286,0.3314285714285714
mean,89,1,1650,271,342,138,133,0.5092250922509225,0.4907749077490775
mean,14,0,1097,198,140,84,114,0.42424242424242425,0.5757575757575758
mean,138,0,1591,259,172,122,137,0.47104247104247104,0.528957528957529
mean,119,0,1448,248,147,111,137,0.4475806451612903,0.5524193548387096
mean,162,0,1433,243,207,112,131,0.4609053497942387,0.5390946502057613
mean,14,1,1709,280,276,140,140,0.5,0.5
mean,44,1,1137,196,155,103,93,0.5255102040816326,0.4744897959183674
mean,90,0,1647,270,128,101,169,0.37407407407407406,0.6259259259259259
mean,138,1,1983,321,423,166,155,0.5171339563862928,0.48286604361370716
mean,119,1,1212,204,277,90,114,0.4411764705882353,0.5588235294117647
mean,63,0,1499,247,166,133,114,0.5384615384615384,0.46153846153846156
mean,15,0,705,128,87,56,72,0.4375,0.5625
mean,120,0,2188,356,316,173,183,0.4859550561797753,0.5140449438202247
mean,44,2,1630,267,267,144,123,0.5393258426966292,0.4606741573033708
mean,141,0,980,174,148,101,73,0.5804597701149425,0.41954022988505746
mean,163,0,1311,222,119,90,132,0.40540540540540543,0.5945945945945946
mean,90,1,1223,210,259,91,119,0.43333333333333335,0.5666666666666667
mean,63,1,865,154,224,76,78,0.4935064935064935,0.5064935064935064
mean,141,1,1486,247,304,98,149,0.3967611336032389,0.6032388663967612
mean,15,1,1153,200,200,65,135,0.325,0.675
mean,64,0,942,167,113,81,86,0.48502994011976047,0.5149700598802395
mean,142,0,1821,299,182,136,163,0.45484949832775917,0.5451505016722408
mean,163,1,1926,316,376,157,159,0.49683544303797467,0.5031645569620253
mean,45,0,1565,257,173,132,125,0.5136186770428015,0.48638132295719844
mean,142,1,2377,392,360,194,198,0.49489795918367346,0.5051020408163265
mean,16,0,1547,259,166,105,154,0.40540540540540543,0.5945945945945946
mean,64,1,1126,195,236,95,100,0.48717948717948717,0.5128205128205128
mean,90,2,1811,309,328,99,210,0.32038834951456313,0.6796116504854369
mean,121,0,1824,297,163,122,175,0.4107744107744108,0.5892255892255892
mean,164,0,1712,283,210,145,138,0.5123674911660777,0.4876325088339223
mean,16,1,2223,362,334,105,257,0.2900552486187845,0.7099447513812155
mean,45,1,1854,307,418,182,125,0.5928338762214984,0.40716612377850164
mean,66,0,1601,269,217,109,160,0.4052044609665427,0.5947955390334573
mean,164,1,2556,411,354,185,226,0.45012165450121655,0.5498783454987834
mean,121,1,1913,315,367,137,178,0.43492063492063493,0.5650793650793651
mean,17,0,1447,244,154,110,134,0.45081967213114754,0.5491803278688525
mean,46,0,1552,260,165,108,152,0.4153846153846154,0.5846153846153846
mean,17,1,1970,324,332,181,143,0.558641975308642,0.44135802469135804
mean,68,0,1051,178,140,93,85,0.5224719101123596,0.47752808988764045
mean,91,0,1014,177,141,95,82,0.536723163841808,0.4632768361581921
mean,46,1,1970,324,312,153,171,0.4722222222222222,0.5277777777777778
mean,165,0,1711,287,262,134,153,0.46689895470383275,0.5331010452961672
mean,68,1,1082,186,198,94,92,0.5053763440860215,0.4946236559139785
mean,18,0,1052,185,95,58,127,0.31351351351351353,0.6864864864864865
mean,123,0,1969,317,195,155,162,0.4889589905362776,0.5110410094637224
mean,18,1,1232,206,224,100,106,0.4854368932038835,0.5145631067961165
mean,91,1,1294,233,292,98,135,0.4206008583690987,0.5793991416309013
mean,71,0,1649,272,142,104,168,0.38235294117647056,0.6176470588235294
mean,123,1,1584,261,277,158,103,0.6053639846743295,0.3946360153256705
mean,19,0,1060,181,176,110,71,0.6077348066298343,0.39226519337016574
mean,166,0,1348,228,142,106,122,0.4649122807017544,0.5350877192982456
mean,71,1,2268,378,392,186,192,0.49206349206349204,0.5079365079365079
mean,123,2,1503,253,353,155,98,0.6126482213438735,0.38735177865612647
mean,19,1,1611,268,218,78,190,0.291044776119403,0.7089552238805971
mean,166,1,1615,268,324,157,111,0.585820895522388,0.4141791044776119
mean,72,0,1624,265,147,128,137,0.4830188679245283,0.5169811320754717
mean,93,0,1301,224,141,92,132,0.4107142857142857,0.5892857142857143
mean,72,1,1209,208,304,112,96,0.5384615384615384,0.46153846153846156
mean,123,3,1713,285,455,197,88,0.6912280701754386,0.3087719298245614
mean,93,1,1553,255,272,109,146,0.42745098039215684,0.5725490196078431
mean,143,0,1318,219,132,103,116,0.4703196347031963,0.5296803652968036
mean,20,0,1549,257,155,128,129,0.4980544747081712,0.5019455252918288
mean,167,0,1275,215,152,113,102,0.5255813953488372,0.4744186046511628
mean,143,1,1088,191,226,87,104,0.45549738219895286,0.5445026178010471
mean,20,1,2310,384,419,194,190,0.5052083333333334,0.4947916666666667
mean,167,1,1273,213,274,115,98,0.539906103286385,0.460093896713615
mean,21,0,1780,293,169,145,148,0.4948805460750853,0.5051194539249146
mean,95,0,1084,185,161,90,95,0.4864864864864865,0.5135135135135135
mean,144,0,1032,182,109,79,103,0.4340659340659341,0.5659340659340659
mean,74,0,1279,215,122,93,122,0.4325581395348837,0.5674418604651162
mean,21,1,2143,342,318,116,226,0.3391812865497076,0.6608187134502924
mean,96,0,1113,190,152,115,75,0.6052631578947368,0.39473684210526316
mean,74,1,1585,260,277,124,136,0.47692307692307695,0.5230769230769231
mean,169,0,1118,190,175,108,82,0.5684210526315789,0.43157894736842106
mean,169,1,1592,264,248,91,173,0.3446969696969697,0.6553030303030303
mean,96,1,1229,209,242,134,75,0.6411483253588517,0.3588516746411483
mean,24,0,1586,263,137,106,157,0.40304182509505704,0.596958174904943
mean,24,1,2026,328,352,174,154,0.5304878048780488,0.4695121951219512
mean,97,0,1187,205,134,102,103,0.4975609756097561,0.5024390243902439
mean,144,1,1223,213,215,94,119,0.4413145539906103,0.5586854460093896
mean,145,0,1055,182,136,87,95,0.47802197802197804,0.521978021978022
mean,173,0,1548,257,137,106,151,0.41245136186770426,0.5875486381322957
mean,145,1,1430,239,220,124,115,0.5188284518828452,0.4811715481171548
mean,97,1,1215,208,271,114,94,0.5480769230769231,0.4519230769230769
mean,98,0,1229,210,148,105,105,0.5,0.5
mean,146,0,1043,179,161,113,66,0.6312849162011173,0.3687150837988827
mean,146,1,1757,289,293,154,135,0.532871972318339,0.4671280276816609
mean,147,0,943,165,156,101,64,0.6121212121212121,0.3878787878787879
mean,173,1,1482,251,285,110,141,0.43824701195219123,0.5617529880478087
mean,147,1,2051,338,309,117,221,0.34615384615384615,0.6538461538461539
mean,98,1,1278,217,227,107,110,0.4930875576036866,0.5069124423963134
mean,149,0,1824,300,249,171,129,0.57,0.43
mean,174,0,940,163,160,92,71,0.5644171779141104,0.43558282208588955
mean,174,1,1257,213,194,93,120,0.43661971830985913,0.5633802816901409
